sim_id,timestamp,L1I_size,L1I_assoc,L1D_size,L1D_assoc,L2_size,L2_assoc,L3_size,L3_assoc,load_queue,store_queue,num_fu_read,num_fu_write,ipc,cpi,energy,edp,runtime_power,leakage_power,total_power,sim_seconds,sim_ticks
5,2025-10-29T12:16:22.832449,64kB,4,1MB,2,1MB,8,2MB,16,48,80,4,2,0.958725,1.043052,2.681376,2.7968144561,1.881840,0.688862,2.570702,0.118404,118404019916
4,2025-10-29T12:16:26.192842,64kB,4,128kB,8,256kB,8,2MB,16,72,64,2,2,0.957148,1.044771,2.491199,2.6027324569,1.832680,0.551765,2.384445,0.118599,118599141360
1,2025-10-29T12:16:28.305334,64kB,4,1MB,2,1MB,8,2MB,16,48,72,2,1,0.958737,1.043039,2.679328,2.7946439473,1.879950,0.688821,2.568771,0.118403,118402590012
3,2025-10-29T12:16:34.725136,64kB,4,64kB,8,256kB,8,2MB,16,48,64,4,2,0.956451,1.045532,2.486728,2.5999535021,1.834440,0.543993,2.378433,0.118686,118685575344
2,2025-10-29T12:16:38.356293,64kB,4,64kB,4,512kB,8,2MB,16,64,80,3,1,0.958020,1.043819,2.288108,2.3883702018,1.629540,0.562514,2.192054,0.118491,118491057944
6,2025-10-29T12:32:17.061976,64kB,4,128kB,2,256kB,8,2MB,16,72,80,3,1,0.956901,1.045040,2.267977,2.3701268505,1.621400,0.548830,2.170230,0.118630,118629691040
7,2025-10-29T12:32:20.492328,128kB,4,64kB,4,256kB,8,2MB,16,64,64,2,1,0.958513,1.043283,2.270674,2.3689557403,1.630080,0.546390,2.176470,0.118430,118430301304
8,2025-10-29T12:32:29.070932,64kB,4,64kB,4,256kB,8,2MB,16,72,64,4,1,0.956470,1.045511,2.265237,2.3683297238,1.624870,0.541761,2.166631,0.118683,118683128228
10,2025-10-29T12:32:34.113781,128kB,4,512kB,4,1MB,16,2MB,16,72,80,2,2,0.959639,1.042058,2.502157,2.6073931003,1.750370,0.650799,2.401169,0.118291,118291151748
9,2025-10-29T12:32:34.504932,128kB,4,64kB,8,256kB,8,2MB,16,64,80,2,2,0.958549,1.043244,2.499202,2.6072770592,1.846760,0.548846,2.395606,0.118426,118425862128
11,2025-10-29T12:48:18.213665,64kB,4,512kB,2,512kB,8,2MB,16,72,64,2,1,0.958597,1.043191,2.442545,2.5480411089,1.739690,0.601727,2.341417,0.118420,118419750288
12,2025-10-29T12:48:29.968578,64kB,4,128kB,2,256kB,16,2MB,16,72,80,4,1,0.957418,1.044476,2.268636,2.3695362096,1.622090,0.549943,2.172033,0.118566,118565744248
14,2025-10-29T12:48:34.771443,128kB,4,1MB,2,256kB,8,2MB,16,72,80,2,2,0.959571,1.042132,2.629812,2.7406109942,1.889570,0.633922,2.523492,0.118300,118299556480
15,2025-10-29T12:48:38.079990,128kB,4,128kB,8,128kB,16,2MB,16,48,72,2,1,0.958249,1.043570,2.486141,2.5944617887,1.836410,0.545932,2.382342,0.118463,118462785924
13,2025-10-29T12:48:38.265074,128kB,4,1MB,8,1MB,8,2MB,16,72,64,3,2,0.959674,1.042020,2.791095,2.9083772046,1.983480,0.695063,2.678543,0.118287,118286908208
16,2025-10-29T13:04:18.549782,64kB,4,512kB,4,1MB,16,2MB,16,48,80,2,1,0.958619,1.043167,2.491415,2.5989614138,1.742330,0.645988,2.388318,0.118417,118417102776
17,2025-10-29T13:04:27.168387,64kB,4,1MB,4,512kB,16,2MB,16,48,64,4,2,0.958602,1.043186,2.641107,2.7551658670,1.879750,0.652020,2.531770,0.118419,118419224784
20,2025-10-29T13:04:44.626587,64kB,4,1MB,8,128kB,8,2MB,16,64,80,4,2,0.958412,1.043393,2.714244,2.8320231321,1.981230,0.620133,2.601363,0.118443,118442721096
18,2025-10-29T13:04:49.077922,128kB,4,512kB,8,1MB,8,2MB,16,48,80,3,1,0.959612,1.042088,2.640711,2.7518536959,1.886840,0.647218,2.534058,0.118295,118294614648
19,2025-10-29T13:04:49.637726,64kB,4,128kB,4,1MB,8,2MB,16,64,72,2,2,0.958378,1.043430,2.394445,2.4984361905,1.686290,0.608493,2.294783,0.118447,118446991768
21,2025-10-29T13:20:42.760632,128kB,4,512kB,2,128kB,8,2MB,16,72,72,4,1,0.959366,1.042355,2.419669,2.5221537621,1.746170,0.575178,2.321348,0.118325,118324938228
22,2025-10-29T13:21:09.676609,128kB,4,512kB,4,512kB,8,2MB,16,64,72,4,1,0.959582,1.042120,2.452967,2.5562860397,1.747390,0.606434,2.353824,0.118298,118298200356
23,2025-10-29T13:21:21.958997,128kB,4,512kB,4,1MB,16,2MB,16,72,64,3,2,0.959616,1.042083,2.498129,2.6032580789,1.746530,0.650716,2.397246,0.118294,118294083432
24,2025-10-29T13:21:22.391468,128kB,4,1MB,4,128kB,16,2MB,16,72,72,2,2,0.959565,1.042139,2.619796,2.7301912867,1.889490,0.624374,2.513864,0.118300,118300430892
25,2025-10-29T13:21:25.506252,128kB,4,512kB,2,1MB,16,2MB,16,64,80,2,2,0.959571,1.042132,2.499002,2.6042902797,1.747250,0.650721,2.397971,0.118300,118299556004
26,2025-10-29T13:37:24.119209,64kB,4,128kB,4,256kB,8,2MB,16,72,64,3,1,0.956893,1.045049,2.332874,2.4379680361,1.683570,0.548741,2.232311,0.118631,118630752996
27,2025-10-29T13:37:36.284045,128kB,4,1MB,4,128kB,8,2MB,16,72,64,4,2,0.959551,1.042154,2.617627,2.7279706393,1.887560,0.624187,2.511747,0.118302,118302061668
