
---------- Begin Simulation Statistics ----------
simSeconds                                   0.099282                       # Number of seconds simulated (Second)
simTicks                                  99282223600                       # Number of ticks simulated (Tick)
finalTick                                 99282223600                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1369.22                       # Real time elapsed on the host (Second)
hostTickRate                                 72510232                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8570392                       # Number of bytes of host memory used (Byte)
simInsts                                    230473206                       # Number of instructions simulated (Count)
simOps                                      321832787                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   168325                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     235049                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        208576101                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.904890                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.105107                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       334475113                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    13050                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      338223463                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  48454                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12655375                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14153796                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1177                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           208298194                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.623746                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.325778                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  53196953     25.54%     25.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  46768955     22.45%     47.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  57848791     27.77%     75.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  31752087     15.24%     91.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13845865      6.65%     97.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4255960      2.04%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    570962      0.27%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     57335      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1286      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             208298194                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4380263     10.35%     10.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  22573      0.05%     10.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    2106      0.00%     10.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                898986      2.12%     12.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5355      0.01%     12.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    22      0.00%     12.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                61836      0.15%     12.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             12420      0.03%     12.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     3      0.00%     12.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 9558      0.02%     12.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    2      0.00%     12.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1030277      2.43%     15.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     15.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                4636061     10.96%     26.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    335      0.00%     26.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     26.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc               1999995      4.73%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd           5983134     14.14%     45.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     45.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp           1478591      3.49%     48.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     48.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     48.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     48.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult          2339097      5.53%     54.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc       1396779      3.30%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     57.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     57.33% # attempts to use FU when none available (Count)
